Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
New York Foundation Grants,http://nyf.org/how-and-when-to-apply/,,,,,,,"Grants support organization and advoacy groups with community-initiated solutions to solve local problems, constituents mobilizing for adequate and equitable resources, and groups organizing a collective voice among those whose voices have not been heard in New York City. Start-up organizations eligible for five consecutive years of support; other categories are eligible for up to three years. Grants are made for one year at a time, and grantees must reapply annually. Grants range from $40,000 to $45,000 for each year of eligibility.",Fellowships & Scholarships,,,,,,United States,,,"Summer,Winter",,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"Deadlines

All grants are made by the Board of Trustees, which meets three times a year: in February, June, and October.

*Requests for funding must be received by:
November 1 for the February meeting
March 1 for the June meeting
July 1 for the October meeting
- See more at: http://nyf.org/how-and-when-to-apply/#sthash.GRhFsqp3.dpuf

We do not make grants to individuals or to capital campaigns. We do not consider support of research studies, films, conferences, or publications. We do not consider requests outside New York City except from organizations working on statewide issues of concern to youth, the elderly, or the poor. Our charter prohibits us from making grants outside the United States. - See more at: http://nyf.org/grant-guidelines/#sthash.ohGpuL2D.dpuf",,,RC (May 25),,,,Application,New York Foundation
Strategic Opportunity Fund,http://nyf.org/strategic-opportunity-fund/,,,,,,,"1 year grants that supports campaigns, collaborations, and coalitions that are current and former New York Foundation grantees addressing community organization, advocacy, public policy, and innovative approaches to address urgent nees in NYC. ",Fellowships & Scholarships,,,,,,United States,,,"Summer,Spring",,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"New opportunity found via the NYF website

Application accepted on a Rolling Deadlines basis, but there are 2 consideration times (march and July)

Proposals received by March 1 can be considered at the June Board meeting and proposals received by July 1 can be considered at the October meeting. ",,,RC (May 30),,,,Application,New York Foundation
Summer Internship in Community Organizing,http://nyf.org/sico/,,,,,,,Funds for summer internships in community organizing for young people 15-23 years old,Job & Internship,,,,,,United States,,,Spring,,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"New opportunity found via the NYF website

Proposals are due no later than 5 pm on Thursday, March 10, 2016. ",,,RC (May 30),,,,Application,New York Foundation
New York Foundation’s Summer Internship in Philanthropy,http://nyf.org/sico/,,,,,,,"10 week internship position for undergraduate students (junior or serniors preferred) to oversee the Summer Internship in Community Organizing (SICO) program which enables current grantees to hire young people who are interested in exploring the field of community organizing in NYC. Intern conducts site visits to the SICO interns, coordinates an orientation session, writes a report about the summer program, reviews proposals, participates in program meetings and grantee site visits, and attends funder briefings ",Job & Internship,,,,Undergraduate Student,,United States,,,Spring,,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"New opportunity found via the NYF website

Application Deadline: Tuesday, April 5, 2016.",,,RC (May 30),,,,Application,New York Foundation
Core Grants,http://nyf.org/how-we-support-our-grantees/,,,,,,,"Grants for new,untested organizations and general institutional support of up to $40,000 to $45,000 for each year of eligibility: start-up organizations are eligible for five consecutive years of support; other categories are eligible for up to three years. Grants are made for one year at a time, and grantees must reapply annually.",Fellowships & Scholarships,,,,,,United States,,,Rolling,,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,New opportunity found via the NYF website,,,RC (May 30),,,,Application,New York Foundation
Capacity Building Program,http://nyf.org/capacity-building-program/,,,,,,,"Core grantees have access to the Foundation’s extensive Capacity-Building Program, which offers grantees one-on-one consultation with experienced providers of nonprofit management assistance, monthly trainings, and access to the Small Grants Pool, which grantees can request small supplementary grants for technical assistance, leadership development, and to expand their capacity to engage in community organizing. Grants range from $250 to $5000",Fellowships & Scholarships,,,,,,United States,,,Rolling,,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,New opportunity found via the NYF website,,,RC (May 30),,,,Application,New York Foundation
Nothern California Grantmakers Member Directory,https://ncg.org/directory,,,,,,,"Lists a network of grantmaking enttities in Northern California, including foundations, non-profits, academic institutions, corporate giving programs, government grantmakers, and philanthropic management entities, that give at least $25,000, with links to their respective websites.",Competitions,,,,,,Bay Area,,,Rolling,,,,"Governance,General",,OnRamp,,,,RC (May 26),,,,Application,Nothern California Grantmakers
Pioneer Institute's Better Government Competition,http://pioneerinstitute.org/better-government-competition/,,,,,,,"Annual citizens’ idea contest that seeks out and rewards between $1000 - $10,000 to the most innovative public policy proposals (grand prize winner receives $10,000; four runners-up receive $1,000 each, and other proposals receive special recognition). For 2016, Pioneer Institute seeks proposals to improve quality and access to care for individuals living with mental health illness through innovative approaches to insurance, health care, human services and partnerships between government agencies and mental health care providers.",Competitions,,,,,,United States,,,Spring,,,,"""Equality, Human Rights, & Justice"",Health & Biotech",,OnRamp,"Read FULL Guidelines: http://bgc.pioneerinstitute.org/wp-content/uploads/2016BGC_Guidelines2.pdf

ENTRY DEADLINE for 2016 COMPETITION: Monday, March 14th, 2016

",,,RC (May 26),,,,Application,Pioneer Institute
PopTech Social Innovation Fellows,http://poptech.org/sifellows,,,,,,,"Selects a small number of high potential change agents from around the world who are working on disruptive innovations in the areas of healthcare, livelihood development, environment, humanitarian aid/relief, education, and civic engagement, among many others. Fellows work in both the for-profit and not-for-profit worlds, have a positive track record as leaders in social innovation, and join a network of experts, peers, and supporters. ",Fellowships & Scholarships,,,,,,Global,,,Summer,,,,"International Development,General,Education & Learning,""Climate, Environment, & Oceans""",,OnRamp,"Fellows attend and give short presentations at the PopTech annual conference (For 2016, October 20-22), which brings together a global network of cutting-edge leaders, thinkers and doers from diverse disciplines. Fellows receive prominent placement at the event, with the potential of interviews with media attendees and collaborative sessions with members of the PopTech network that can help amplify the impact of Fellow’s organizations and their professional profiles.

SEE CALL FOR NOMINATIONS: http://poptech.org/call_for_nominations
Nominations are by invitation only and open through July 15, 2016.
",,,RC (May 26),,,,Nomination,Pop! Tech
PopTech Science Fellows,http://poptech.org/sciencefellows,,,,,,,"Leadership development opportunity designed to help high potential working scientists become more effective communicators, collaborators and leaders both within and beyond the traditional bounds of academia. Fellows participate in a special training program, held each October on an island off the coast of Maine; later they attend and give short presentations at the PopTech annual conference, which brings together a global network of cutting-edge leaders, thinkers and doers from diverse disciplines. ",Fellowships & Scholarships,,,,,,Global,,,Summer,,,,"International Development,General,Education & Learning,""Climate, Environment, & Oceans""",,OnRamp,"I found this opportunity on the same website. 

SEE ABOVE FOR INFORMATION ABOUT NOMINATIONS",,,RC (May 26),,,,Nomination,Pop! Tech
PopTech Bellagio Fellows,http://poptech.org/bellagiofellows,,,,,,,"Brings together small, interdisciplinary groups of designers, economists, technologists and social innovators for an immersive residencey at the Rockefeller Foundation’s renowned Bellagio Center on the shores of Lake Como, Italy. Serves as an incubator of unconventional, cross-disciplinary collaboration around critical topics relevant to the lives of poor and vulnerable populations, and also serves as a laboratory for the study of the nature of collaboration itself as a profound tool for creative problem-solving and solution development.",Fellowships & Scholarships,,,,,,Global,,,Spring,,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"I found this opportunity on the same website as above. 

For the 2014 Competition: Nominations will be accepted through January 30, 2014

The Program takes place during the Fall (usually August), and the Conference is held in Camden, Maine, in Octoboer",,,RC (May 26),,,,Nomination,Pop! Tech and Rockefeller Foundation
QPrize by Qualcomm Ventures,https://qualcommventures.com/qprize/,,,,,,,"Investment competition in 2015 for first level of funding to launch ideas into successful start-ups. Regional winners receive US$100,000, and the Grand Prize Winner receives an additional US$150,000. Provides entrepreneurs in over 8 regions their first level of funding to launch ideas into a successful start-up businesses. Provides seed investments of up to 5 years to technology start-ups. ",Competitions,,,,,,Global,,,Summer,,Startups,,General,,OnRamp,"International regions: Global, Australia, China, Europe, Israel, India, Korea, Latina America, and North America

Deadline: July",,,RC (May 26),,,,Application,Qualcomm Ventures
QPrize North America by Qualcomm Ventures,https://www.f6s.com/qualcommventuresqprizenorthamerica/apply,,,,,,,"Seed investment competition designed to provide early stage funding to entrepreneurs and start-ups that have innovative ideas that can significantly impact the wireless ecosystem. Qualcomm Ventures will select up to eight finalists from the North American region to compete in a finals competition whereby the winner will receive US$250,000 in convertible note funding.",Competitions,,,,,,,,,Summer,,Startups,,General,,OnRamp,"In order to access the site, I had to connect my FB / LinkedIn and create a Team Profile (so not the most user friendly in terms of ease of access)

Some helpful links: https://www.qualcommventures.com/qprize/faqs-north-america and https://www.qualcommventures.com/qprize/rules-and-regulations-north-america

The competition officially kicks off on April 18, 2016 and submissions must be received by the end of July 15, 2016 (12AM PST).",,,RC (May 26),,,,Application,Qualcomm Ventures
Resnick Resonate Awards,http://www.resnick.caltech.edu/awards.php,,,,,,,"Looks to recognize innovators under the age of 40 from all fields with new contributions to the field of sustainability science, including, renewable energy, energy security, climate change, and environment. Up to 4 winners are honored at Fortune's Brainstorm Green Conference.",Awards and Recognition,,,,,,Global,,,Fall,,,,"Cities,""Equality, Human Rights, & Justice"",""Climate, Environment, & Oceans""",,OnRamp,"Non-monetary! Must be nominated 

2016 nominations open on Monday, September 14, 2015 (12:00 a.m. Pacific) and close on Friday, November 20, 2015 (5:00 p.m. Pacfic).

Winners will be announced in Spring or early Summer 2016",,,RC (May 26),,,,Nomination,Resnick Institute and California Institute of Technology (CalTech)
Sankalp Social Enterprise Awards,http://www.sankalpforum.com/awards-1/,,,,,,,"Vetted through a rigorous 3-month process by a panel of global investors, the Awards bring funding and recognition to the most sustainable and scalable social enterprises that are doing business across India.",Competitions,,,,,,International,,,Spring,,,,International Development,,OnRamp,"Sankalp Global Summit 2016 is April 20-22, 2016 in Mumbai, India 

Deadline: January? ",,,RC (May 26),,,,Application,Sankalp Forum
Sankalp Global Innovation Challenge,http://www.sankalpforum.com/global-innovation-challenge/,,,,,,,"The first ever Sankalp Global Innovation Challenge (Sankalp GIC) is a call for innovative technology-based product solutions that can reach the Next 3 Billion (N3B) and contribute to inclusive development. The platform will recognize some of the best innovations from around the world for their relevance to the emerging markets in developing countries (developing Asia, Africa, and Latin America). Top innovators get to showcase their work at the Sankalp Global Summit along with a chance to win prize money upto $50k. ",Competitions,,,,,,Global,,,Spring,,,,"International Development,Cities,Health & Biotech",,OnRamp,"New Competition added that I found on the Sankalp website.

Entries are open till 15th of March 2016

Competition ended on Apr 10, 2016",,,RC (May 26),,,,Application,Sankalp Forum
Sankalp Africa Award 2016,http://africa2016.sankalpforum.com/page/995485/sankalp-awards,,,,,,,"Awards and helps scale-up startups of 4 winning teams who address environmental, economic, technology, and transportation initiatives in Kenya, with hopes that rising investments in  entrepreneurship, ecosystem creation and market building will help to boost  enterprise activity, and incubate the kind of startups that will go on to become the next mPesa.",Competitions,,,,,,International,,,Spring,,,,"International Development,Health & Biotech",,OnRamp,"New Competition added that I found on the Sankalp website.

The Africa Summit 2016 is February 25-26 in Nairobi, Kenya

Deadline: ?

*It seems that each year they change the location of the competition? Their other addition in 2015 was in Southeast Asia: http://seasia2015.sankalpforum.com/ with an award of Sankalp Awards 2015 of up to $40k for the Grand Prize Winner, and Runner Ups receiving Grants of $10k",,,RC (May 26),,,,Application,Sankalp Forum
Schwab Foudation Social Entrepreneurship of the Year Competition,http://www.schwabfound.org/content/selection-process,,,,,,,"Provides social entrepreneurs with scholarships, pro-bono consulting services, executive education courses at Harvard Business School, INSEAD. and Stanford, and invitations to the World Economic Forum. Potential for winners to also be nomiated to the Young Global Leaders network (http://www.weforum.org/community/forum-young-global-leaders) if under 40 years old. ",Competitions,,,,,,Global,,,Spring,,,,General,,OnRamp,"Any Topic EXCEPT STARTUPS+BUSINESS

Applications for the 2017 Social Entrepreneur of the Year Award are by invitation only. 

Previous appliation deadline for 2015 Competition: May 31, 2015

Selection critieria: http://www.schwabfound.org/content/criteria

Previous Candidates are: individual(s) running a for-profit or non-profit, tackling social or environmental issues amongst low-income/vulnerable populations, AND ARE NOT CROWDFUNDERS, INTERMEDIARIES, INCUBATORS, OR TECHNICAL ASSISTANCE PROVIDERS (Read more: https://www.opportunitiesforafricans.com/2016-schwab-foundations-social-entrepreneur-of-the-year-award-apply-now/)",,,RC (May 26),,,,Nomination,Schwab Foundation for Social Entrepreneurship
Shuttleworth Fellowship,https://shuttleworthfoundation.org/fellows/,,,,,,,"Looks for social innovators working to change the world and address issues regarding open technology, knowledge and learning. Provides 2 types of grants for Fellows: fellowship grant of various amount (based on Fellow's salary) and a co-investment project funding of up to $250,000 per Fellow per year.",Fellowships & Scholarships,,,,,,Global,,,"Fall,Summer",,,,"International Development,General,Education & Learning",,OnRamp,"Deadline for the fellowship beginning Sep 1 is May 1; Deadline for the fellowship beginning Mar 1 is Nov 1. Applications accepted throughout the year.

Applications for the September 2016 fellowship intake are now closed.
Applications for the March 2017 intake will open in June 2016",,,RC (May 26),,,,Application,Shuttleworth Foundation
Skoll Awards for Social Entrepreneurship,http://skoll.org/,,,,,,,"The Skoll Awards distinguishes up to 10  transformative leaders whose organizations are disrupting the status quo, driving large-scale “equilibrium” change, and are poised to create even greater impact on the world. They are given funding (typically $50,000 - $1.25 million over 3 years on average) and support by a global network of entrepreneurs, innovators, and government leaders and are formally recognized at the Skoll World Forum Awards Ceremony in April.",Awards and Recognition,,,,,,Global,,,Fall,,Startups,,"""Climate, Environment, & Oceans"",Education & Learning,Health & Biotech",,OnRamp,"http://www.skollfoundation.org/about/skoll-awards/

Site seems to be broken. Use http://skoll.org/ instead

2014 Skoll Awardees will be selected from an existing pool of candidates; 2015 onward, the process will be nomination-based; Begins accepting nominations winter 2013

The Skoll Award recognizes social entrepreneurs whose innovations have already had significant, proven impact on some of the world's most pressing problems, and invests directly in the promise of even greater impact at scale. By investing in organizations when an innovation is ripe for accelerated and scaled adoption, the Skoll Awards help unleash the full global potential and reach of social entrepreneurs.

Each Awardee receives a $1.25 million, three-year core support investment to scale their work and increase their impact. They also gain leverage through their long-term participation in a global community of visionary leaders and innovators dedicated to solving the world's most pressing problems.

Deadline: Fall (september)?",,,RC (May 26),,,,Nomination,Skoll Foundation
Social Entrepreneur Corps Programs,http://socialentrepreneurcorps.com/apply-now/,,,,,,,"Uses dynamic international internship programs lasting between 1 - 8 weeks abroad to provide students with the knowledge, experience, skills, and ongoing support necessary to empower marginalized individuals. Participants earn a certificate titled “Social Entrepreneurship: Changemaking for Change Leaders” and work as a consultant alongside social entrerpeneurs and local partners in impact immersion programs in Latin America. ",Job & Internship,,,,"Undergraduate Student,Graduate Student",,International,,,Rolling,,,,"International Development,General",,OnRamp,"Programs only located in Guatemala, Ecuador, Nicaragua, Costa Rica, Mexico and the Dominican Republic. ",,,RC (May 26),,,,Application,"Social 
Entrepreneur Corps"
S&I 100 Index,http://www.socialimpactexchange.org/exchange/si-100,,,,,,,"The S&I 100 is the first-ever broad index of US nonprofits with proof of social impact on education, poverty, youth, and health! Get nominated to become one of 100 high-impact solutions to America’s most pressing problems and nearly 16,000 local affiliates implementing them.",Awards and Recognition,,,,,,United States,,,Rolling,,,,General,,OnRamp,This site is afiliated with the Social Impact Exchange. Full requirements herer: http://www.socialimpactexchange.org/webfm_send/776,,,RC (May 26),,,,Nomination,Social Impact Exchange
Student Competitions Database,http://studentcompetitions.com/competitions,,,,,,,"Free online database of competitions, job oppoturnities, scholarships, and awards ranging from business to art to sciences, availalbe for all individuals regardless of age or level of education. ",Competitions,,,,,,Global,,,Rolling,,,,General,,OnRamp,,,,RC (May 26),,,,Application,Sqore.com
Prizes for Ideas at the Technology  Exchange Lab,http://www.techxlab.org/prizes-for-ideas/,,,,,,,"A crowdsourced database of competitions, grants, fellowships and awards in support of over 600 innovations that help NGOs, innovators, social enterprises, and developing-world communities leverage appropriate technology solutions to share and discover sustainable solutions to problems of poverty.",Competitions,,,,,,Global,,,Rolling,,,,"International Development,Cities,Education & Learning,""Climate, Environment, & Oceans"",Health & Biotech",,OnRamp,,,,RC (May 26),,,,Application,Technology Exchange Lab
Dow Sustainability Innovation Student Challenge Award (SISCA),http://www.dow.com/en-us/science-and-sustainability/collaborations/academic-collaborations/dow-sisca/,,,,,,,"Recognizes and rewards students and 18 universities for their innovation and research of sustainable solutions to the world's most pressing social, economic and environmental problems. The grand prize is a $10,000 award while the runner-up prize is $2,500, along with access to networks of thought leaders and peers.",Competitions,,,,,,Global,,,Fall,,,,General,,OnRamp,"Teams must be interdisciplinary to be eligible

Deadline for the UCB 2015 program was November 2, 2015. Not sure about the 2016 award program

It seems that EACH university can choose to host a DOW Sustainability Innovation Student Challenge Award Program, limited to graduate students attending that particular university. (see UCB's 2015 Competition: https://responsiblebusiness.haas.berkeley.edu/students/SISCA%20Rules%202015%20(1).pdf), University of Queensland (http://www.dowcsei.uq.edu.au/sisca), and the University of Arizona's (http://environment.umn.edu/leadership/acara/competitions/sustainability-innovation-student-challenge-award/). ",,,RC (May 26),,,,Application,The Dow Chemical Company
The Tech Awards,http://www.thetech.org/tech-awards-presented-applied-materials/applications,,,,,,,"The Tech Awards honors innovators from around the world — individuals, non-profit organizations and companies — who are applying technology to benefit humanity. The technology used can be either a new invention or an innovative use of an existing technology to significantly improve human conditions in 5 awards categories: environment, education, young innovator, health, and economic development. All laureates are awared cash prizes of $50,000 at the annual gala where more than 1,200 esteemed innovators and members of the world community gather to celebrate the power of technology to address global challenges and benefit humanity. ",Competitions,,,,,,Bay Area,,,Spring,,,,"Education & Learning,""Climate, Environment, & Oceans"",Health & Biotech",,OnRamp,"As part of our 15th year retrospective we are holding a competition, by invitation only, to past Tech Awards laureates. Criteria for The 2017 Tech Awards will be available later this year. 

The 16th annual gala of The Tech Awards on Thursday, Nov. 17, at the San Jose McEnery Convention Center.

Application deadline: May?",,,RC (May 26),,,,Application,The Tech Museum of Innovation
Top Students Challenges,http://www.topstudentchallenges.com/,,,,,,,"Hub for academic and career-relevant student competitions, startup contests and idea challenges. Focuses on contests for students who are committed to have an impact on society, especially when it comes to sustainability, greentech/cleantech, or social innovation contests. ",Competitions,,,,"Undergraduate Student,Graduate Student",,Global,,,Rolling,,,,General,,OnRamp,,,,RC (May 26),,,,Application,top|student|challenges
"Challenge.gov - Government Challenges, Your Solutions",http://challenge.gov/,,,,,,,"Technical platform and list of challenge and prize competitions, all of which are run by more than 80 agencies under the federal government. These include technical, scientific, ideation, and creative competitions where the U.S. government seeks innovative solutions from the public, bringing the best ideas and talent together to solve mission-centric problems.",Competitions,,,,,,Global,,,Rolling,,,,General,,OnRamp,,,,RC (May 27),,,,Application,U.S. Government Services Administration (GSA)
Scholarship Connection at UC Berkeley,http://scholarships.berkeley.edu/,,,,,,,UC Berkeley's clearinghouse for information on scholarships that are funded by sources outside the University.,Competitions,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,,,Rolling,,,,General,,OnRamp,,,,RC (May 27),,,,Application,UC Berkeley
UC Berkeley Sponosred Projects Office,http://www.spo.berkeley.edu/funding.html,,,,,,,"Provides links to Pivot Funding Opportunities Database, tips on external funding resources, and listes of various funding programs ranging from travel grants, limited submission programs, granst for faculty, equipment, women and minorities, etc, and Agency Links (federal, non-profit, state, University of California Grant Programs)",Competitions,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,,,Rolling,,,,General,,OnRamp,,,,RC (May 27),,,,Application,UC Berkeley Sponsored Projects office
Funding opportunities,http://vcresearch.berkeley.edu/brdo/funding-opportunities,,,,,,,"Announcements of research funding opportunities are typically posted on the dedicated websites of the relevant federal agency or other funder, as well as on government-wide sites like Grants.gov.  Database of information to locate opportunities that match your needs and interests with various offices across campus providing ideas and search tools that can help.",Competitions,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,,,Rolling,,,,General,,OnRamp,,,,RC (May 27),,,,Application,UC Berkeley Research Deveopment Office
Grants.gov,http://grants.gov/,,,,,,,"A system that provides a centralized location for grant seekers to find and apply for federal funding opportunities. Houses information on over 1,000 grant programs and vets grant applications for federal grant-making agencies.",Competitions,,,,,,Global,,,Rolling,,,,General,,OnRamp,,,,RC (May 27),,,,Application,US Government
Research Grants,http://www.ucop.edu/research-grants-program/funding-opportunities/index.html,,,,,,,"Grants for researchers, top faculty members, government agencies, and community agencies to collaborate and solve the most pressing problems in California. RGPO also provides grants for training undergraduates, graduate and postdoctoral researchers, whose work will benefit California communities.",Competitions,,,,,,"UC Berkeley,Bay Area",,,Rolling,,,,General,,OnRamp,"For UG, Grad, and Post-Docs, as well as faculty",,,RC (May 27),,,,Application,UC Berkeley Research Grants Program Office
Graduate Fellowships and Awards,http://grad.berkeley.edu/financial/fellowships/,,,,,,,"Database of scholarships, grants and fellowships provided by the Graduate Division for Graduate students at UC Berkeley.",Competitions,,,,Graduate Student,,UC Berkeley,,,Rolling,,,,General,,OnRamp,,,,RC (May 27),,,,Application,UC Berkeley Graduate Division
Pivot Database at UC Berkeley,http://pivot.cos.com/,,,,,,,"Combines a Competition/Funding Database - updated daily - of over 25,000 opportunities (awards and grants) with a database of over 3 million researcher expertise profiles. Pivot provides graduate students, Research Administrators, Research Development Professionals, and individual faculty members research opportunities, funding, support and training, and networks of global and local collaboration.",Competitions,,,,Graduate Student,,UC Berkeley,,,Rolling,,,,General,,OnRamp,Targets university reseachers,,,RC (May 27),,,,Application,UC Berkeley Research and Deveopment Office
The Stronach Baccalaureate Prize at UC Berkeley,http://stronach.berkeley.edu/,,,,,,,"Awards up to $25,000 for one year to UC Berkeley students with intellectual and creative projects involving public service, creative, or community-based research that address social issues. The award gives motivated students the opportunity to extend and reflect upon their undergraduate work at Berkeley by undertaking a special project after their graduation.",Fellowships & Scholarships,,,,Graduate Student,,UC Berkeley,,,Spring,,,,General,,OnRamp,"The Prize is open to Berkeley graduates in any area of study who are awarded an undergraduate degree in the Fall of the year before or the Spring or Summer of the year in which the Prize is awarded. To be eligible for the 2016 award, students must graduate in Fall 2015, Spring or Summer 2016.

2015 deadline: Tuesday, March 1, 2016",,,RC (May 27),,,,Application,"UC Berkeley
College of Undergraduate Research"
Venture Capital Investment Competition (VCIC),http://entrepreneurship.berkeley.edu/venture-capital-investment-competition/,,,,,,,"Allows students to apply the art and science of venture investing by letting them assume the role of venture capitalists and evaluate and “fund” investment opportunities for a day using strategic investment criteria, valuation, capitalization tables, term sheets, and other tools of the trade. Real entrepreneurs who are currently seeking funding present their startups to the VCIC teams, while the teams are judged by experienced venture capitalists.",Competitions,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,,,Fall,,Startups,,General,,OnRamp,"All students competing must be members of the Entrepreneurs Association.  Based on last year's event dates: Workshops in 11/2013, Mentoring sessions on a continual basis, Haas Competition in 2/2013 

2015 Competition Application Deadline: Thursday, November 12, 2015: Midnight
(for applicants who received Application material after midnight Nov 9th,
the application deadline is midnight Nov 16th)

2016 Application Process: Six teams, each comprised of five UC Berkeley graduate students, will be selected to compete in the 2016 UC Berkeley Competition.

All team members must be current UC Berkeley graduate students.
No team member can be working with a VC firm from October 27, 2015 until his or her team’s participation in the VCIC ends.
At least one member must be a paid up member of the Berkeley Entrepreneurs Association at the time of application submission.",,,RC (May 27),,,,Application,"UC Berkeley
Lester Center"
LAUNCH: The UC Berkeley Startup Competition,http://launch.berkeley.edu/,,,,,,,"3-month elite startup accelerator and competition designed to transform early stage startups into fundable companies, bringing together entrepreneurs, students and alumni from across the greater UC Berkeley and UC San Francisco communities. Teams are paired with serial-entrepreneur mentors and are led through a rigorous curriculum by the acclaimed UC Berkeley Faculty and can be awarded over $90,000 in cash and prizes at the annual Startup Expo and Demo Day. ",Competitions,,,,"Undergraduate Student,Graduate Student",,Bay Area,,,Fall,,Startups,,General,,OnRamp,"New Competition that I've added

Applications are closed for the 2016 season. Please check back in the Fall for the 2017 season application information.",,,RC (May 27),,,,Application,"UC Berkeley
Lester Center"
UC Berkeley ASUC Funding,http://asuc.org/student-orgs/funding/,,,,,,,"Registered Student Organization (RSO) at UC Berkjeley can apply for ASUC sponsorship and/or funding throughout the academic year by submitting a ASUC ABSA Budget Appeal Application or Senate Finance Rule Waiver (Summer Only). Depending on the type of student group, grants range from $400 to $1100 maximum, although spending restrictions can be waived if approvved by the Senate Finance Committee. ",Fellowships & Scholarships,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,,,Spring,,,,General,,OnRamp," think there is only 1 deadline? (March 7th), but there are 2 different forms you can fill out

Apply using one of 2 forms:
2016-2017 ASUC ABSA Budget Appeal Application
Start: 3/28/2016 12:00 AM
End: 4/2/2017 12:15 AM
2016 Senate Finance Rule Waiver (Summer Only)
Start Funding: 4/21/2015 12:00 AM
End: 8/15/2016 5:00 PM

Funds available: Senate Contingency Fund, Student Space Rservation Fund, Greek Opportunity Fund, Cooperative Opportunity Fund, Spending Restrictions and Finance Rule Waiver
see: https://callink.berkeley.edu/organization/asucsenateonly/availableforms


ABSA TIMELINE:
Monday, March 7: ABSA IS DUE at 11:59pm. No late submissions will be accepted.
Monday, March 28: Appeals application for funding or space available",,,RC (May 27),,,,Application,UC Berkeley ASUC
CRG Graduate Students Grants Program,http://crg.berkeley.edu/content/graduate-grants,,,,,,,"1 year grants of $100 to $2,000 to fund graduate student research or creative projects that address issues of race, gender, and their intersections. Projects that focus on race and gender on the Berkeley campus and its neighboring communities are especially encouraged and prioritized. ",Fellowships & Scholarships,,,,"Undergraduate Student,Graduate Student",,Bay Area,,,"Fall,Spring",,,,"""Equality, Human Rights, & Justice""",,OnRamp,"Proposals that address both race and gender will be prioritized, and proposals that do not address race at all will be de-prioritized. Projects may be oriented toward academic research or may approach race and gender issues from the perspectives of the media, fine arts, and performing arts


Spring 2016 Deadline: Monday, April 4, 2016, by 3:00 p.m.
Fall 2016 Deadline: November?  (Is there a fall applicaiton cycle? I can't find any information about the Fall deadlines for the UG or Graduate Application Deadlines)",,,RC (May 27),,,,Application,UC Berkeley Center for Race and Gender (CRG)
CRG Graduate Students Grants Program,http://crg.berkeley.edu/content/undergraduate-grants-program,,,,,,,"1 year grants of $100 to $2,000 to fund undergraduate student research or creative projects that address issues of race, gender, and their intersections. Projects that focus on race and gender on the Berkeley campus and its neighboring communities are especially encouraged and prioritized. ",Fellowships & Scholarships,,,,Undergraduate Student,,UC Berkeley,Berkeley,,"Fall,Spring",,,,"""Equality, Human Rights, & Justice""",,OnRamp,"New addition: UG have a grant too!

Proposals that address both race and gender will be prioritized, and proposals that do not address race at all will be de-prioritized. Projects may be oriented toward academic research or may approach race and gender issues from the perspectives of the media, fine arts, and performing arts


Spring 2016 Deadline: Monday, March 7, 2016 by 3:00 p.m
Fall 2016 Deadline: November?  (Is there a fall applicaiton cycle? I can't find any information about the Fall deadlines for the UG or Graduate Application Deadlines)",,,RC (May 27),,,,Application,UC Berkeley Center for Race and Gender (CRG)
